C,DV,E_K,El,Tref,Vr,Vt_star,cell_type,dt,eta_10.0,eta_100.0,eta_1000.0,eta_3.0,eta_30.0,eta_300.0,eta_3000.0,gamma_3.0,gamma_30.0,gamma_300.0,gamma_3000.0,gbar_K1,gbar_K2,gl,h_A,h_Vhalf,h_k,h_tau,lambda0,m_A,m_Vhalf,m_k,n_A,n_Vhalf,n_k,name,resting_potential,type
0.0991646320729494,6.53742275913799,,-64.4566997623146,6.5,-53.55198388106613,-55.72316888614789,5HT,0.1,0.008589945945949242,0.028477003295473577,0.002652258086026364,0.05572717511863413,-0.003864817755465549,-0.0002224286401520429,0.0006695844399387347,68849.73847871688,-46.68665820135238,6.983621810352137,5.327227451904232,,,0.0011011578076154716,,,,,1.0,,,,,,,DRN307,-64.45670316642952,GIF
0.12181232664186299,4.4420226965444325,,-80.40297831260699,6.5,-54.55562066504704,-54.31782321038063,5HT,0.1,0.024262144481414876,0.03874559746686176,0.008134587665847492,0.07965328453188933,-0.013658162345356087,0.007560321140375293,-0.0032541011938509094,-63.497848783339386,60.990898497629715,37.53311410190928,2.5464854607384013,,,0.0013410718750728066,,,,,1.0,,,,,,,DRN308,-80.40297699732136,GIF
0.11512529689654778,2.41797910959304,,-64.85140711106986,6.5,-56.135385462133065,-49.11101328614746,5HT,0.1,0.06853693660500722,0.05586643774410389,0.0028413826228619577,-0.025441968793895244,-0.022651988531934692,0.006485289127267043,-0.0010523126111429903,-94.41513080882956,91.66375462241173,10.192265357583114,0.14615141031956036,,,0.0022721522823327695,,,,,1.0,,,,,,,DRN317,-64.85140989606947,GIF
0.09417288304723423,3.813900219778296,,-63.56535088613511,6.5,-55.91928075680405,-46.18150720436542,5HT,0.1,0.01740852520807872,0.05729858169159931,0.0037760546816717326,-0.016149818472418323,-0.0022132031356260204,-0.00399937732970675,-0.0005926101002609767,-176.95345718320533,185.7042288353669,6.839458412978059,-0.17110940515725057,,,0.0016536020886449255,,,,,1.0,,,,,,,DRN318,-63.56534958634344,GIF
0.10576909760074607,4.568117173160755,,-54.18654438674012,6.5,-49.18546139710574,-59.39296785302336,5HT,0.1,0.030981359807120162,0.007374813538788398,0.007066676878514079,-0.0674687826115244,0.026208626675192352,0.00022583607804886263,-0.006006814581947814,807.045568417795,-1.8744504273488853,0.4436510280253159,2.199422039395951,,,0.0018984205238352185,,,,,1.0,,,,,,,DRN319,-54.186542521727674,GIF
0.10598551455389196,3.660196536766666,,-77.66045933120787,6.5,-55.91023008914911,-54.20655463696874,5HT,0.1,-0.029524075188938313,0.0028620275464726294,-0.0027103001762381405,0.12236062530480882,0.018547663212266648,0.03220974493024591,0.0011363738256202503,-103.8335936262709,90.22182973221524,47.77738280301605,0.2970552690369589,,,0.0014798303922763803,,,,,1.0,,,,,,,DRN320,-77.66046141378685,GIF
0.07536792074664812,7.103950273807635,,-58.45118492950399,6.5,-53.85661985938296,-60.72757251354047,5HT,0.1,-0.005190697793374408,0.0186617926934783,-0.0006930805767653632,0.07377214277130743,0.0013866207945241646,0.004873449215513932,0.0016120866095130945,2015.2679243582454,-35.986807611981426,7.202479109018647,3.4193899863106383,,,0.001010425675446872,,,,,1.0,,,,,,,DRN321,-58.45118332831369,GIF
0.057376113533958904,4.481107986066908,,-58.94301978355612,6.5,-50.65467549502242,-52.31892521097503,5HT,0.1,-0.009947769590490133,0.016924855963339345,0.0014870035572369805,0.08995679126005589,0.020624934248270183,0.007852173060691149,0.0002469168561808537,444.5566183841454,7.255311696531057,7.234137027540181,-0.07449140798668843,,,0.0013458616577433113,,,,,1.0,,,,,,,DRN324,-58.94301986646585,GIF
0.06040552359899429,8.549067017708062,,-65.86583332377455,6.5,-63.857361220808144,-59.17047007433694,5HT,0.1,-0.03592151787908788,0.004705950042735961,0.0020315339927186845,0.02847416002279608,0.014602810607873393,0.004222465736777566,-0.0014133464705214911,472.44331984959945,2.1511367130182237,8.928288988206218,-1.0342162457780049,,,0.001274870528914604,,,,,1.0,,,,,,,DRN325,-65.86583707555995,GIF
0.08636385611923605,3.8106454791962916,,-61.54747194914875,6.5,-47.654813394062046,-47.200641624806416,5HT,0.1,-0.019938395437092003,0.026537984115386097,-0.000598733440193672,0.25820137532605425,0.004317288961044048,0.01854062224904616,-0.00011646005033829463,-77.7604060746745,80.0965906512452,26.178383528952295,-1.3101891976395752,,,0.001284283828213626,,,,,1.0,,,,,,,DRN327,-61.54747010340381,GIF
