Cell,GABA_AugmentedGIFs,GABA_GIFs,GABA_iGIF_NPs,GABA_iGIF_VRs
DRN351,0.9361352001061138,0.9154293599447352,0.9154293599447352,0.8820961405970426
DRN354,0.9415054889275604,0.9311897787446404,0.9311897787446404,0.9207491181737227
DRN355,0.9525900202650022,0.943235728612846,0.943235728612846,0.9316291143828201
DRN356,0.9815072203741791,0.9742809917951349,0.9742809917951349,0.9742657025739719
DRN357,0.9555678295152242,0.9510679022922215,0.9510679022922215,0.9467821117399733
SOM_6_LW,0.9310854570275232,0.9293312197052149,0.9293312197052149,0.92328599473317
SOM_9_LW,0.9482014046575069,0.9482886047553829,0.9482886047553829,0.9477204597738935
SOM_14_LW,0.945567059864761,0.943845733201586,0.943845733201586,0.9434982630216855
DRN415,0.9675429341394339,0.9675186584265372,0.9675186584265372,0.9660491667573863
DRN416,0.9115381555319827,0.9129814026610569,0.9129814026610569,0.9072116039546458
DRN419,0.9210938856583762,0.9238367041948766,0.9238367041948766,0.9069099034489886
DRN421,0.9315594611339808,0.9349565981726478,0.9349565981726478,0.8844462808694793
DRN422,0.9549324910285765,0.9553449977568493,0.9553449977568493,0.9500791960023554
DRN424,0.9430084997859615,0.93610311120702,0.93610311120702,0.92116640640524
