Cell,GABA_AugmentedGIFs,GABA_GIFs,GABA_iGIF_NPs,GABA_iGIF_VRs
DRN351,0.5917960284348714,0.45450544085543965,0.8565946120729884,0.8407885861284075
DRN354,0.9168085172813623,0.8979334575782895,0.935759358441311,0.9376719133882762
DRN355,0.824593806068947,0.7453634082216527,0.929983775650495,0.9233213428048223
DRN356,0.9543212752038762,0.9152516698784181,0.9691232686031745,0.9669894862273234
DRN357,0.8575679517993114,0.8633829086594019,0.9120982543933941,0.9111407057006421
SOM_6_LW,0.8742348273681672,0.8659781631120788,0.9389006958848708,0.8427537176629153
SOM_9_LW,0.9256491118155441,0.9243009105534705,0.9300405266754604,0.929278240911517
SOM_14_LW,0.8584551341171616,0.8585456199394115,0.8915191029266174,0.8877643742251476
DRN415,0.9161382327353106,0.9222634741805206,0.9615308665479327,0.9565707546575632
DRN416,0.8679311098204986,0.8702148527189398,0.9162711438109563,0.9089915840204301
DRN419,0.7650050830300903,0.8147972034988534,0.8390031464792079,0.896249473708486
DRN421,0.5566445154605096,0.49159765623588,0.5541461368665752,0.5561654903757646
DRN422,0.9353183791785181,0.937025227809455,0.9601561751638429,0.9536462854846774
DRN424,0.9181088181995348,0.914425525463907,0.9398838169838112,0.943962030813469
