5HT_AugmentedGIFs,5HT_GIFs,5HT_iGIF_NPs,5HT_iGIF_VRs,Cell
0.19342485202616233,0.022157866865298637,0.022157866865298637,0.022157866865298637,DRN307
0.11213450585676321,0.024033360072157284,0.024033360072157284,0.024033360072157284,DRN308
0.11244089850618066,0.02118223975296485,0.02118223975296485,0.02118223975296485,DRN317
0.18847961988076578,0.041603052154787656,0.041603052154787656,0.041603052154787656,DRN318
0.01061672357681509,0.0059426555744476195,0.0059426555744476195,0.0059426555744476195,DRN319
0.14762861558074336,0.03424603230245149,0.03424603230245149,0.03424603230245149,DRN320
0.30054287461886775,0.08974035088032939,0.08974035088032939,0.08974035088032939,DRN321
0.23976623696521493,0.05282795955718711,0.05282795955718711,0.05282795955718711,DRN324
0.24207325671091928,0.055472055323045555,0.055472055323045555,0.055472055323045555,DRN325
0.16348347687949782,0.03340925750212298,0.03340925750212298,0.03340925750212298,DRN327
0.18283401675638888,0.03341743606026548,0.03341743606026548,0.03341743606026548,DRN332
0.2628433860857039,0.11685609810756303,0.11685609810756303,0.11685609810756303,DRN384
0.32281819469512585,0.1418341718734858,0.1418341718734858,0.1418341718734858,DRN385
0.4519067744827632,0.23194670724886446,0.23194670724886446,0.23194670724886446,DRN386
0.6517018670702361,0.3901116916974634,0.3901116916974634,0.3901116916974634,JF3
0.6524600812264578,0.37839112831742094,0.37839112831742094,0.37839112831742094,JF5
0.5690568111867841,0.3156487600250477,0.3156487600250477,0.3156487600250477,JF6
0.603020059239815,0.3194999905127638,0.3194999905127638,0.3194999905127638,JF7
