Cell,mPFC_AugmentedGIFs,mPFC_GIFs,mPFC_iGIF_NPs,mPFC_iGIF_VRs
APFC4,0.4388057959853169,0.48578650357089015,0.5673399606786246,0.5965306011535642
APFC5,0.9431477433451942,0.9056118610953889,0.9498106590711896,0.9420490448975656
APFC6,0.8771788175175376,0.9016637585447077,0.9696413923774339,0.9710130880221115
APFC7,0.8270461791411793,0.8168238659820679,0.8682761755754984,0.8817065553095303
APFC8,0.7119109051066028,0.7564621526433983,0.8139916960448174,0.7824483626409846
APFC9,0.5771019547273197,0.7941099946031677,0.8907827967195687,0.8985365116037698
APFC6,0.8483253825618375,0.8398764970301689,0.8092139107648406,0.8281619220237676
