Cell,mPFC_minified_AugmentedGIFs,mPFC_minified_GIFs,mPFC_minified_iGIF_NPs,mPFC_minified_iGIF_VRs
APFC4,0.3616841945451064,0.4855685226113814,0.3520832459680627,0.4758085513836855
APFC5,0.5066026704058666,0.22920153657889653,,0.35107520099622236
APFC6,0.8329322075629193,0.8636653302326849,0.9631023877766955,0.8923901462888227
APFC7,0.8658721899932688,0.8378245034081929,,0.8299386148878403
APFC8,0.7428247409214975,0.7436412351229629,0.0,0.0
APFC9,0.5013515325326894,0.6516052598729762,,0.8508813901853602
APFC6,0.8415063022516271,0.8434473604600934,0.8344282950268029,0.8151921251260985
