5HT_AugmentedGIFs,5HT_GIFs,5HT_iGIF_NPs,5HT_iGIF_VRs,Cell
0.2459313744768557,0.17168395130613928,0.3458130079703377,0.0,DRN307
0.486499423044815,0.3841391877272899,0.6095695840141524,0.498834358178324,DRN308
0.7413124055696259,0.4716234196288621,0.6551009142777566,0.6692673081654572,DRN317
0.3408775547304648,0.17701384971550055,0.4206074167193461,0.419136903911528,DRN318
0.3719384118043293,0.39973694892215145,0.5609280827793016,0.540652584385096,DRN319
0.46741663306154924,0.374414663682864,0.6036335991666576,0.0,DRN320
0.4990156907558788,0.40216681619022665,0.49276203224720583,0.5106625340078191,DRN321
0.6597063844448144,0.6325224077972507,0.8287488323121709,0.8045949481027357,DRN324
0.3827380907879039,0.2658966416847011,0.7472217134422222,0.7414482482775694,DRN325
0.6315324940060573,0.45927402750243596,0.5687995229376923,0.6566890224536673,DRN327
0.5979262422205319,0.45270823342794775,0.45675672963565694,0.6820987490089447,DRN332
0.33803306131560557,0.363005742339894,0.534010230184332,0.0,DRN384
0.3535734941261593,0.29656989716802606,0.4010882617333861,0.5249332682375623,DRN385
0.3779579540421412,0.2687109576742359,0.40186316808174394,0.49266722192932405,DRN386
0.4467300444298454,0.3563742474910727,0.5965978154564447,0.5903270102471898,JF3
0.6205787774469689,0.40101386081656726,0.4181555588955665,0.4471341233640235,JF5
0.7967753681735154,0.4675327120766615,0.6317366127398767,0.6304393913476581,JF6
0.6461514143570418,0.38056432170063736,0.6795797354045086,0.668539507795098,JF7
