Cell,mPFC_minified_AugmentedGIFs,mPFC_minified_GIFs,mPFC_minified_iGIF_NPs,mPFC_minified_iGIF_VRs
APFC4,0.1387868358751766,0.5601016514030114,0.5601016514030114,0.5459123127380424
APFC5,0.9019258718408236,0.8673977531879493,,0.8674883979484623
APFC6,0.9204896983673965,0.9290036258300159,0.9290036258300159,0.9272373542802538
APFC7,0.9502207917174963,0.9423369670686953,,0.9214393441593224
APFC8,0.9075824825982971,0.9229895954787964,0.9229895954787964,0.919513654701216
APFC9,0.6929700066801185,0.7995405178067139,,0.7309188468081211
APFC6,0.9204896983673965,0.9290036258300159,0.9290036258300159,0.9272373542802538
