Cell,mPFC_AugmentedGIFs,mPFC_GIFs,mPFC_iGIF_NPs,mPFC_iGIF_VRs
APFC4,0.07028937074795638,0.08641167371003833,0.08641167371003833,0.08641167371003833
APFC5,0.3360948266748265,0.10835335382156686,0.10835335382156686,0.10835335382156686
APFC6,0.7214087175508126,0.657999563216064,0.657999563216064,0.657999563216064
APFC7,0.8139898368551745,0.6447270590833705,0.6447270590833705,0.6447270590833705
APFC8,0.7448649154861174,0.4887073787264644,0.4887073787264644,0.4887073787264644
APFC9,0.39415326308794174,0.3629901872362704,0.3629901872362704,0.3629901872362704
APFC6,0.7214087175508126,0.657999563216064,0.657999563216064,0.657999563216064
