Cell,GABA_minified_AugmentedGIFs,GABA_minified_GIFs,GABA_minified_iGIF_NPs,GABA_minified_iGIF_VRs
DRN351,0.5266076966388725,0.23096268466866432,0.23096268466866432,0.23096268466866432
DRN354,0.6114993528459058,0.2865258427118079,0.2865258427118079,0.2865258427118079
DRN355,0.7300095178720742,0.36421839904197917,0.36421839904197917,0.36421839904197917
DRN356,0.7232604206276191,0.3420849642914091,0.3420849642914091,0.3420849642914091
DRN357,0.5314161362261787,0.21891378392481686,0.21891378392481686,0.21891378392481686
SOM_6_LW,0.8929799064429556,0.7573680697924107,0.7573680697924107,0.7573680697924107
SOM_9_LW,0.9041145327440344,0.7566496907351452,0.7566496907351452,0.7566496907351452
SOM_14_LW,0.8024703184915533,0.7614360391283707,0.7614360391283707,0.7614360391283707
DRN415,0.8835476928178149,0.7019549046637004,,0.7019549046637004
DRN416,0.8802373025664239,0.7317236670229598,0.7317236670229598,0.7317236670229598
DRN419,0.8906142282029194,0.7421568865054229,0.7421568865054229,0.7421568865054229
DRN421,0.9109084545035316,0.7884659174588151,0.7884659174588151,0.7884659174588151
DRN422,0.8799780343498536,0.738669238804091,0.738669238804091,0.738669238804091
DRN424,0.9394329756123879,0.8472069008516324,0.8472069008516324,0.8472069008516324
