Cell,mPFC_AugmentedGIFs,mPFC_GIFs,mPFC_iGIF_NPs,mPFC_iGIF_VRs
APFC4,0.38953098456380275,0.6544737007088337,0.6544737007088337,0.6350569558933807
APFC5,0.8977023490693163,0.864882683846984,0.864882683846984,0.8649238814396365
APFC6,0.9378002531822495,0.9424013251018176,0.9424013251018176,0.9424789848480367
APFC7,0.9399033291011387,0.931650296237609,0.931650296237609,0.8865028502048024
APFC8,0.8844215042361561,0.9053088390004785,0.9053088390004785,0.8945404633378333
APFC9,0.7436515847416335,0.8432924120778558,0.8432924120778558,0.8071918671888287
APFC6,0.9378002531822495,0.9424013251018176,0.9424013251018176,0.9424789848480367
