Cell,mPFC_minified_AugmentedGIFs,mPFC_minified_GIFs,mPFC_minified_iGIF_NPs,mPFC_minified_iGIF_VRs
APFC4,0.04906434247762126,0.06426718128976339,0.06426718128976339,0.06426718128976339
APFC5,0.3287284182043425,0.10470871474042898,,0.10470871474042898
APFC6,0.7247793232705572,0.6643685484472819,0.6643685484472819,0.6643685484472819
APFC7,0.821537553054378,0.6427353225059996,,0.6427353225059996
APFC8,0.7343026076541102,0.48509060501002144,0.48509060501002144,0.48509060501002144
APFC9,0.40872138999631624,0.3760920963783857,,0.3760920963783857
APFC6,0.7247793232705572,0.6643685484472819,0.6643685484472819,0.6643685484472819
